codigo_mesa	id_eleccion	partido_id	votos	pct_votos_validos	pct_votos_emitidos
000150	10	10	83	61.94	59.286
000150	10	8	50	37.313	35.714
000150	10	80	1	0.0	0.714
000150	10	81	5	0.0	3.571
000150	10	82	1	0.0	0.714
000213	10	10	95	70.37	65.068
000213	10	8	40	29.63	27.397
000213	10	80	1	0.0	0.685
000213	10	81	10	0.0	6.849
000213	10	82	0	0.0	0.0
000229	10	10	99	53.514	33.673
000229	10	8	86	46.486	29.252
000229	10	80	97	0.0	32.993
000229	10	81	12	0.0	4.082
000229	10	82	0	0.0	0.0
000233	10	10	119	56.667	40.476
000233	10	8	91	43.333	30.952
000233	10	80	74	0.0	25.17
000233	10	81	10	0.0	3.401
000233	10	82	0	0.0	0.0
000276	10	10	95	52.778	51.075
000276	10	8	85	47.222	45.699
000276	10	80	0	0.0	0.0
000276	10	81	6	0.0	3.226
000276	10	82	0	0.0	0.0
000465	10	10	31	73.81	70.455
000465	10	8	11	26.19	25.0
000465	10	80	1	0.0	2.273
000465	10	81	1	0.0	2.273
000465	10	82	0	0.0	0.0
000543	10	10	67	46.528	44.966
000543	10	8	77	53.472	51.678
000543	10	80	2	0.0	1.342
000543	10	81	3	0.0	2.013
000543	10	82	0	0.0	0.0
000657	10	10	107	75.352	72.297
000657	10	8	35	24.648	23.649
000657	10	80	1	0.0	0.676
000657	10	81	5	0.0	3.378
000657	10	82	0	0.0	0.0
000805	10	10	113	59.162	55.392
000805	10	8	77	40.314	37.745
000805	10	80	2	0.0	0.98
000805	10	81	11	0.0	5.392
000805	10	82	1	0.0	0.49
000845	10	10	130	67.708	63.725
000845	10	8	62	32.292	30.392
000845	10	80	2	0.0	0.98
000845	10	81	10	0.0	4.902
000845	10	82	0	0.0	0.0
000886	10	10	117	58.794	57.073
000886	10	8	82	41.206	40.0
000886	10	80	2	0.0	0.976
000886	10	81	4	0.0	1.951
000886	10	82	0	0.0	0.0
000898	10	10	117	66.857	59.391
000898	10	8	58	33.143	29.442
000898	10	80	1	0.0	0.508
000898	10	81	21	0.0	10.66
000898	10	82	0	0.0	0.0
000977	10	10	114	62.637	61.29
000977	10	8	68	37.363	36.559
000977	10	80	2	0.0	1.075
000977	10	81	2	0.0	1.075
000977	10	82	0	0.0	0.0
001236	10	10	125	57.339	54.585
001236	10	8	92	42.202	40.175
001236	10	80	1	0.0	0.437
001236	10	81	10	0.0	4.367
001236	10	82	1	0.0	0.437
001254	10	10	141	65.278	60.256
001254	10	8	75	34.722	32.051
001254	10	80	1	0.0	0.427
001254	10	81	17	0.0	7.265
001254	10	82	0	0.0	0.0
001287	10	10	114	57.868	54.545
001287	10	8	83	42.132	39.713
001287	10	80	3	0.0	1.435
001287	10	81	9	0.0	4.306
001287	10	82	0	0.0	0.0
001295	10	10	124	70.455	64.921
001295	10	8	52	29.545	27.225
001295	10	80	3	0.0	1.571
001295	10	81	12	0.0	6.283
001295	10	82	0	0.0	0.0
001532	10	10	85	61.151	50.296
001532	10	8	54	38.849	31.953
001532	10	80	6	0.0	3.55
001532	10	81	24	0.0	14.201
001532	10	82	0	0.0	0.0
001590	10	10	105	63.636	62.13
001590	10	8	60	36.364	35.503
001590	10	80	1	0.0	0.592
001590	10	81	3	0.0	1.775
001590	10	82	0	0.0	0.0
001735	10	10	55	36.913	34.161
001735	10	8	94	63.087	58.385
001735	10	80	3	0.0	1.863
001735	10	81	9	0.0	5.59
001735	10	82	0	0.0	0.0
001766	10	10	92	41.256	38.494
001766	10	8	131	58.744	54.812
001766	10	80	3	0.0	1.255
001766	10	81	13	0.0	5.439
001766	10	82	0	0.0	0.0
001960	10	10	121	76.582	69.54
001960	10	8	35	22.152	20.115
001960	10	80	6	0.0	3.448
