nro	odpe	dpto	provincia	distrito	ccpp	nombre_local_votacion	nombre_local_votacion_nuevo	motivo	mesas_a_reasignar	estado_parseo
1	CHICLAYO	LAMBAYEQUE	CHICLAYO	CHICLAYO		IEP MARIA LUCRECIA	IE 10925 CESAR VALLEJO	RECONSTRUCCION	14	OK
2	CHICLAYO	LAMBAYEQUE	CHICLAYO	PIMENTEL		IEP ALBERT EINSTEIN	IE 10014 SAN MARTIN DE PORRES	NEGADO POR DISCONFORMIDAD DE PROPIETARIOS	10	OK
3	EL TAMBO	JUNIN	HUANCAYO	PILCOMAYO		IEP MUNDO FELIZ	IE 30117 JUAN BAUTISTA	EXTORSION	6	OK
4	ESPINAR	CUSCO	ESPINAR	ESPINAR		IE 501258 CORONEL FRANCISCO BOLOGNESI	IE 56175 SAGRADO CORAZON DE JESUS - SECUNDARIA	RECONSTRUCCION	10	OK
5	HUANUCO	HUANUCO	HUANUCO	HUANUCO		ISPP SABIO NACIONAL ANTUNEZ DE MAYOLO	IE HEROES DE JACTAY S/N	SE TRASLADO A OTRO DISTRITO	9	OK
6	LA CONVENCION	CUSCO	LA CONVENCION	KIMBIRI		IEST KIMBIRI	IE 38622 INMACULADA CONCEPCION	INFRAESTRUCTURA DETERIORADA	7	OK
7	LA CONVENCION	CUSCO	LA CONVENCION	MEGANTONI		IEI 375 CAMISEA	IE 64443 CAMISEA	INFRAESTRUCTURA DETERIORADA	4	OK
8	LA ESPERANZA	LA LIBERTAD	OTUZCO	USQUIL		POLIDEPORTIVO MUNICIPAL USQUIL	IE 80272 TEOFILO BENITES GIL	TOLDOS EN CAMPO ABIERTO CON BAJA TEMPERATURA	15	OK
9	LA ESPERANZA	LA LIBERTAD	TRUJILLO	FLORENCIA DE MORA		IEP CESAR VALLEJO	IESTP FLORENCIA DE MORA	NEGADO POR DISCONFORMIDAD DE PROPIETARIOS	7	OK
10	LA ESPERANZA	LA LIBERTAD	TRUJILLO	FLORENCIA DE MORA		IEP ECOLOGICA CESAR VALLEJO	IEP HANS KELSEN	NEGADO POR DISCONFORMIDAD DE PROPIETARIOS	8	OK
11	LA ESPERANZA	LA LIBERTAD	TRUJILLO	LA ESPERANZA		IEP GENIOS DEL MILLENNIUM	IE 80822 SANTA MARIA DE LA ESPERANZA	NEGADO POR DISCONFORMIDAD DE PROPIETARIOS	11	OK
12	LIMA CENTRO 2	LIMA	LIMA	JESUS MARIA		PARQUE CACERES	IEP SACO OLIVEROS - CUBA	NO CUENTA CON CERCO PERIMETRICO	14	OK
13	LIMA ESTE 2	LIMA	LIMA	EL AGUSTINO		IEP JUVENTUD CIENTIFICA	IE JOSE CARLOS MARIATEGUI	NEGADO POR DISCONFORMIDAD DE PROPIETARIOS	15	OK
14	LIMA OESTE 1	LIMA	LIMA	LINCE		PARQUE GRAN MARISCAL RAMON CASTILLA	CE PARROQUIAL SANTA ROSA DE LIMA	NO CUENTA CON CERCO PERIMETRICO	13	OK
15	LIMA OESTE 1	LIMA	LIMA	LINCE		PARQUE DEL BOMBERO	IE 1057 JOSE BAQUIJANO Y CARRILLO	NO CUENTA CON CERCO PERIMETRICO	14	OK
16	LIMA OESTE 1	LIMA	LIMA	LINCE		PARQUE TNTE CRNEL PEDRO RUIZ GALLO	IE 1059 MARIA INMACULADA	NO CUENTA CON CERCO PERIMETRICO	16	OK
17	LIMA OESTE 1	LIMA	LIMA	LINCE		PARQUE SANTOS DUMONT	IEE 1070 MELITON CARBAJAL - ESTADIO	NO CUENTA CON CERCO PERIMETRICO	7	OK
18	LIMA OESTE 1	LIMA	LIMA	LINCE		IE 1059 MARIA INMACULADA	IEI 005 JESUSITO MILAGROSO	PARA INSTALACION DE MS PROVENIENTES DE OTRO LV	7	OK
19	LIMA OESTE 1	LIMA	LIMA	MAGDALENA DEL MAR		IES PRIVADO DE OPTOMETRIA DE CIENCIAS EUROHISPANO	CEPRE UNI	NEGADO POR DISCONFORMIDAD DE PROPIETARIOS	3	OK
20	LIMA OESTE 2	LIMA	LIMA	MIRAFLORES		BOULEVARD TARATA	IE 7003 MANUEL FERNANDO BONILLA	NO CUENTA CON CERCO PERIMETRICO	10	OK
21	LIMA OESTE 2	LIMA	LIMA	MIRAFLORES		PARQUE MIGUEL GRAU	IE 7008 SCIPION E LLONA	NO CUENTA CON CERCO PERIMETRICO	11	OK
22	LIMA OESTE 2	LIMA	LIMA	MIRAFLORES		PARQUE TRADICIONES PERUANAS			8	INCOMPLETO_OCR
23	LIMA OESTE 2	LIMA	LIMA	MIRAFLORES		PARQUE RAMON CASTILLA			6	INCOMPLETO_OCR
24	LIMA OESTE 2	LIMA	LIMA	MIRAFLORES		PARQUE JOHN F KENNEDY	IEP NUESTRA SEÑORA DEL CARMEN DE PRIMARIA	NO CUENTA CON CERCO PERIMETRICO	37	OK
25	LIMA OESTE 2	LIMA	LIMA	MIRAFLORES		IEP NUESTRA SEÑORA DEL CARMEN PRIMARIA	IEP NUESTRA SEÑORA DEL CARMEN SECUNDARIA	PARA INSTALACION DE MS PROVENIENTES DE OTRO LV	18	OK
26	LIMA OESTE 2	LIMA	LIMA	SURQUILLO		IEP INICIAL LUZ Y VIDA	CEBE ESPECIAL SURQUILLO	NEGADO POR DISCONFORMIDAD DE PROPIETARIOS	5	OK
27	MAYNAS	LORETO	MAYNAS	IQUITOS		IE 60793 TUPAC AMARU - SECUNDARIA	IEI 342 MICAELA BASTIDAS	INFRAESTRUCTURA DETERIORADA	13	OK
28	MOYOBAMBA	SAN MARTIN	MOYOBAMBA	JEPELACIO	JERILLO	IE 00512	IE JENARO ERNESTO HERRERA TORRES	RECONSTRUCCION	4	OK
29	POMABAMBA	ANCASH	SIHUAS	CHINGALPO		IE 84178 EL AMAUTA	IE MOISES ZEBALLOS	INFRAESTRUCTURA DETERIORADA	3	OK
30	REQUENA	LORETO	REQUENA	PUINAHUA		IE HECTOR HUGO GARCIA VASQUEZ	IEPI 288 BRETAÑA	INFRAESTRUCTURA DETERIORADA	6	OK
31	SAN JUAN DE LURIGANCHO	LIMA	LIMA	SAN JUAN DE LURIGANCHO		IEP JUVENTUD CIENTIFICA	CEBE SAN MATIAS DE JESUS	NEGADO POR DISCONFORMIDAD DE PROPIETARIOS	4	OK
32	SAN JUAN DE LURIGANCHO	LIMA	LIMA	SAN JUAN DE LURIGANCHO		IEP GRUPO EDUCATIVO BRITANICO	IE 137 MIGUEL GRAU SEMINARIO	NEGADO POR DISCONFORMIDAD DE PROPIETARIOS	8	OK
33	SAN JUAN DE LURIGANCHO	LIMA	LIMA	SAN JUAN DE LURIGANCHO		IEP CRISTIANO SHALOM	IEP MARISCAL CACERES	NEGADO POR DISCONFORMIDAD DE PROPIETARIOS	6	OK
34	SAN MARTIN	SAN MARTIN	SAN MARTIN	TARAPOTO		IE 0004 TUPAC AMARU	UNSM COMPLEJO UNIVERSITARIO	RECONSTRUCCION	16	OK
35	SAN MARTIN	SAN MARTIN	SAN MARTIN	TARAPOTO		IE JOSE ANTONIO RAMIREZ AREVALO	IEP ADVENTISTA JOSE DE SAN MARTIN - PRIMARIA	RECONSTRUCCION	8	OK
36	SANTA	ANCASH	SANTA	CHIMBOTE		IE 88001 - EX 314	INSTITUTO DE EDUCACION SUPERIOR PRIVADO AMERICA	RECONSTRUCCION	7	OK
37	SANTA	ANCASH	SANTA	SANTA		IE ARTEMIO DEL SOLAR ICOCHEA	IEP AMERICA SCHOOL	RECONSTRUCCION	19	OK
38	SULLANA	PIURA	SULLANA	SULLANA		IEP SANTA URSULA	IEP FEDERICO VILLAREAL	NEGADO POR DISCONFORMIDAD DE PROPIETARIOS	13	OK
39	SULLANA	PIURA	TALARA	PARIÑAS		IEP FEDERICO VILLARREAL	IE 15508 DOMINGO SAVIO	NEGADO POR DISCONFORMIDAD DE PROPIETARIOS	11	OK
40	CANCHIS	CUSCO	CANCHIS	MARANGANI		IE 56025	IE JORGE CHAVEZ	RECONSTRUCCION	11	OK
41	PATAZ	LA LIBERTAD	PATAZ	PATAZ		IE 80459 MARIA DE FATIMA	ISTP ERASMO ARELLANO GUILLEN	RECONSTRUCCION	3	OK
42	CORONEL PORTILLO	UCAYALI	CORONEL PORTILLO	CALLERIA		UNIVERSIDAD NACIONAL DE UCAYALI	INSTITUTO DE EDUCACION SUPERIOR TECNOLOGICO PUBLICO SUIZA	LOCAL TOMADO POR ALUMNOS EN HUELGA	56	OK
43	LURIGANCHO	LIMA	LIMA	LURIGANCHO		UNIVERSIDAD NACIONAL DE EDUCACION ENRIQUE GUZMAN Y VALLE	IE FEDERICO VILLAREAL	LOCAL TOMADO POR ALUMNOS EN HUELGA	52	OCR_REVISAR
44	VENTANILLA	CALLAO	CALLAO	VENTANILLA		IE VILLA LOS REYES	IE 3720 PARROQUIAL NUESTRA SEÑORA DE LA MISERICORDIA	INFRAESTRUCTURA DETERIORADA	24	OK
