ubigeo	ambito	departamento	provincia	distrito	continente	pais	ciudad
010202	peru	AMAZONAS	BAGUA	ARAMANGO			
010205	peru	AMAZONAS	BAGUA	BAGUA			
010203	peru	AMAZONAS	BAGUA	COPALLIN			
010204	peru	AMAZONAS	BAGUA	EL PARCO			
010206	peru	AMAZONAS	BAGUA	IMAZA			
010201	peru	AMAZONAS	BAGUA	LA PECA			
010304	peru	AMAZONAS	BONGARÁ	CHISQUILLA			
010305	peru	AMAZONAS	BONGARÁ	CHURUJA			
010302	peru	AMAZONAS	BONGARÁ	COROSHA			
010303	peru	AMAZONAS	BONGARÁ	CUISPES			
010306	peru	AMAZONAS	BONGARÁ	FLORIDA			
010312	peru	AMAZONAS	BONGARÁ	JAZAN			
010301	peru	AMAZONAS	BONGARÁ	JUMBILLA			
010307	peru	AMAZONAS	BONGARÁ	RECTA			
010308	peru	AMAZONAS	BONGARÁ	SAN CARLOS			
010309	peru	AMAZONAS	BONGARÁ	SHIPASBAMBA			
010310	peru	AMAZONAS	BONGARÁ	VALERA			
010311	peru	AMAZONAS	BONGARÁ	YAMBRASBAMBA			
010102	peru	AMAZONAS	CHACHAPOYAS	ASUNCIÓN			
010103	peru	AMAZONAS	CHACHAPOYAS	BALSAS			
010101	peru	AMAZONAS	CHACHAPOYAS	CHACHAPOYAS			
010104	peru	AMAZONAS	CHACHAPOYAS	CHETO			
010105	peru	AMAZONAS	CHACHAPOYAS	CHILIQUIN			
010106	peru	AMAZONAS	CHACHAPOYAS	CHUQUIBAMBA			
010107	peru	AMAZONAS	CHACHAPOYAS	GRANADA			
010108	peru	AMAZONAS	CHACHAPOYAS	HUANCAS			
010109	peru	AMAZONAS	CHACHAPOYAS	LA JALCA			
010110	peru	AMAZONAS	CHACHAPOYAS	LEIMEBAMBA			
010111	peru	AMAZONAS	CHACHAPOYAS	LEVANTO			
010112	peru	AMAZONAS	CHACHAPOYAS	MAGDALENA			
010113	peru	AMAZONAS	CHACHAPOYAS	MARISCAL CASTILLA			
010114	peru	AMAZONAS	CHACHAPOYAS	MOLINOPAMPA			
010115	peru	AMAZONAS	CHACHAPOYAS	MONTEVIDEO			
010116	peru	AMAZONAS	CHACHAPOYAS	OLLEROS			
010117	peru	AMAZONAS	CHACHAPOYAS	QUINJALCA			
010118	peru	AMAZONAS	CHACHAPOYAS	SAN FRANCISCO DE DAGUAS			
010119	peru	AMAZONAS	CHACHAPOYAS	SAN ISIDRO DE MAINO			
010120	peru	AMAZONAS	CHACHAPOYAS	SOLOCO			
010121	peru	AMAZONAS	CHACHAPOYAS	SONCHE			
010603	peru	AMAZONAS	CONDORCANQUI	EL CENEPA			
010601	peru	AMAZONAS	CONDORCANQUI	NIEVA			
010602	peru	AMAZONAS	CONDORCANQUI	RÍO SANTIAGO			
010402	peru	AMAZONAS	LUYA	CAMPORREDONDO			
010403	peru	AMAZONAS	LUYA	COCABAMBA			
010404	peru	AMAZONAS	LUYA	COLCAMAR			
010405	peru	AMAZONAS	LUYA	CONILA			
010406	peru	AMAZONAS	LUYA	INGUILPATA			
010401	peru	AMAZONAS	LUYA	LAMUD			
010407	peru	AMAZONAS	LUYA	LONGUITA			
010408	peru	AMAZONAS	LUYA	LONYA CHICO			
010409	peru	AMAZONAS	LUYA	LUYA			
010410	peru	AMAZONAS	LUYA	LUYA VIEJO			
010411	peru	AMAZONAS	LUYA	MARÍA			
010412	peru	AMAZONAS	LUYA	OCALLI			
010413	peru	AMAZONAS	LUYA	OCUMAL			
010414	peru	AMAZONAS	LUYA	PISUQUIA			
010423	peru	AMAZONAS	LUYA	PROVIDENCIA			
010415	peru	AMAZONAS	LUYA	SAN CRISTÓBAL			
010416	peru	AMAZONAS	LUYA	SAN FRANCISCO DEL YESO			
010417	peru	AMAZONAS	LUYA	SAN JERÓNIMO			
010418	peru	AMAZONAS	LUYA	SAN JUAN DE LOPECANCHA			
010419	peru	AMAZONAS	LUYA	SANTA CATALINA			
010420	peru	AMAZONAS	LUYA	SANTO TOMÁS			
010421	peru	AMAZONAS	LUYA	TINGO			
010422	peru	AMAZONAS	LUYA	TRITA			
010503	peru	AMAZONAS	RODRÍGUEZ DE MENDOZA	CHIRIMOTO			
010502	peru	AMAZONAS	RODRÍGUEZ DE MENDOZA	COCHAMAL			
010504	peru	AMAZONAS	RODRÍGUEZ DE MENDOZA	HUAMBO			
010505	peru	AMAZONAS	RODRÍGUEZ DE MENDOZA	LIMABAMBA			
010506	peru	AMAZONAS	RODRÍGUEZ DE MENDOZA	LONGAR			
