id_eleccion	ubigeo	partido_id	nombre_candidato	nombre_agrupacion_politica	votos_validos	pct_votos_validos	pct_votos_emitidos	total_votos_validos_geo	total_votos_emitidos_geo	fuente
10	010100	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	15776	55.286	50.938	28535	30971	local_agregado
10	010100	8	FUERZA POPULAR	FUERZA POPULAR	12892	45.18	41.626	28535	30971	local_agregado
10	010100	80	VOTOS EN BLANCO	VOTOS EN BLANCO	273	0.957	0.881	28535	30971	local_agregado
10	010100	81	VOTOS NULOS	VOTOS NULOS	2169	7.601	7.003	28535	30971	local_agregado
10	010100	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	1	0.004	0.003	28535	30971	local_agregado
10	010200	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	21201	68.247	64.02	31065	33116	local_agregado
10	010200	8	FUERZA POPULAR	FUERZA POPULAR	9999	32.187	30.194	31065	33116	local_agregado
10	010200	80	VOTOS EN BLANCO	VOTOS EN BLANCO	375	1.207	1.132	31065	33116	local_agregado
10	010200	81	VOTOS NULOS	VOTOS NULOS	1687	5.431	5.094	31065	33116	local_agregado
10	010200	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	31065	33116	local_agregado
10	010300	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	7103	57.241	53.035	12409	13393	local_agregado
10	010300	8	FUERZA POPULAR	FUERZA POPULAR	5306	42.759	39.618	12409	13393	local_agregado
10	010300	80	VOTOS EN BLANCO	VOTOS EN BLANCO	146	1.177	1.09	12409	13393	local_agregado
10	010300	81	VOTOS NULOS	VOTOS NULOS	838	6.753	6.257	12409	13393	local_agregado
10	010300	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	12409	13393	local_agregado
10	010400	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	11049	57.412	53.146	19245	20790	local_agregado
10	010400	8	FUERZA POPULAR	FUERZA POPULAR	8238	42.806	39.625	19245	20790	local_agregado
10	010400	80	VOTOS EN BLANCO	VOTOS EN BLANCO	206	1.07	0.991	19245	20790	local_agregado
10	010400	81	VOTOS NULOS	VOTOS NULOS	1341	6.968	6.45	19245	20790	local_agregado
10	010400	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	19245	20790	local_agregado
10	010500	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	6098	51.239	47.585	11901	12815	local_agregado
10	010500	8	FUERZA POPULAR	FUERZA POPULAR	5803	48.761	45.283	11901	12815	local_agregado
10	010500	80	VOTOS EN BLANCO	VOTOS EN BLANCO	112	0.941	0.874	11901	12815	local_agregado
10	010500	81	VOTOS NULOS	VOTOS NULOS	802	6.739	6.258	11901	12815	local_agregado
10	010500	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	11901	12815	local_agregado
10	010600	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	9294	89.194	86.367	10420	10761	local_agregado
10	010600	8	FUERZA POPULAR	FUERZA POPULAR	1268	12.169	11.783	10420	10761	local_agregado
10	010600	80	VOTOS EN BLANCO	VOTOS EN BLANCO	47	0.451	0.437	10420	10761	local_agregado
10	010600	81	VOTOS NULOS	VOTOS NULOS	300	2.879	2.788	10420	10761	local_agregado
10	010600	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	10420	10761	local_agregado
10	010700	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	29156	63.895	60.261	45631	48383	local_agregado
10	010700	8	FUERZA POPULAR	FUERZA POPULAR	16475	36.105	34.051	45631	48383	local_agregado
10	010700	80	VOTOS EN BLANCO	VOTOS EN BLANCO	337	0.739	0.697	45631	48383	local_agregado
10	010700	81	VOTOS NULOS	VOTOS NULOS	2415	5.292	4.991	45631	48383	local_agregado
10	010700	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	45631	48383	local_agregado
10	020100	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	48868	60.294	55.624	81049	87854	local_agregado
10	020100	8	FUERZA POPULAR	FUERZA POPULAR	32987	40.7	37.548	81049	87854	local_agregado
10	020100	80	VOTOS EN BLANCO	VOTOS EN BLANCO	649	0.801	0.739	81049	87854	local_agregado
10	020100	81	VOTOS NULOS	VOTOS NULOS	6212	7.664	7.071	81049	87854	local_agregado
10	020100	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	1	0.001	0.001	81049	87854	local_agregado
10	020200	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	2161	60.145	57.094	3593	3785	local_agregado
10	020200	8	FUERZA POPULAR	FUERZA POPULAR	1432	39.855	37.834	3593	3785	local_agregado
10	020200	80	VOTOS EN BLANCO	VOTOS EN BLANCO	35	0.974	0.925	3593	3785	local_agregado
10	020200	81	VOTOS NULOS	VOTOS NULOS	157	4.37	4.148	3593	3785	local_agregado
10	020200	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	3593	3785	local_agregado
10	020300	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	6546	61.586	57.955	10629	11295	local_agregado
10	020300	8	FUERZA POPULAR	FUERZA POPULAR	4083	38.414	36.149	10629	11295	local_agregado
10	020300	80	VOTOS EN BLANCO	VOTOS EN BLANCO	83	0.781	0.735	10629	11295	local_agregado
10	020300	81	VOTOS NULOS	VOTOS NULOS	583	5.485	5.162	10629	11295	local_agregado
10	020300	82	VOTOS IMPUGNADOS	VOTOS IMPUGNADOS	0	0.0	0.0	10629	11295	local_agregado
10	020400	10	JUNTOS POR EL PERÚ	JUNTOS POR EL PERÚ	16215	65.832	59.704	24631	27159	local_agregado
10	020400	8	FUERZA POPULAR	FUERZA POPULAR	8720	35.403	32.107	24631	27159	local_agregado
